feature,train_missing_pct,valid_missing_pct,holdout_missing_pct,missing_delta_train_valid,missing_delta_train_holdout,ks_train_valid,ks_train_holdout,train_nunique,valid_nunique,holdout_nunique
V32,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.03945175451593386,0.0009354781582054938,15,5,5
V33,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.028908410193725143,0.00777441951987401,7,4,3
V34,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.021652182341247772,0.0035190279417551817,13,5,5
V37,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.009988227612523826,0.002501357244905633,55,22,17
V38,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.0090103351474774,0.0051795003383713345,55,43,31
V39,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.03919081120390355,0.02086757086999025,15,8,16
V40,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.03911958102655533,0.021068811564779244,16,14,16
V42,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.03927836085827785,0.02045772426498238,9,5,6
V43,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.03911329564292643,0.020508577712609943,9,7,8
V44,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.0038568288448906918,0.0017268798405895014,49,34,15
V45,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.004631749867067048,0.0023882942326490797,49,38,22
V47,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.00748841997435179,0.003874687946462174,9,6,7
V50,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.04445993634856593,0.02781131100082712,6,3,5
V51,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.031246394388664722,0.015449076998270583,7,5,6
V52,29.571965610167933,27.81521996816473,24.9331120669218,1.756745642003203,4.638853543246132,0.027615392074067047,0.010507353936386132,9,6,7
V57,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.037152341190278215,0.020393381979930902,7,6,7
V58,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.03719221192560351,0.020674961231198163,8,8,11
V60,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.03722020514450586,0.002970435076692146,13,10,17
V63,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.03705553327791089,0.0005333039474063606,8,6,6
V64,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.03711591316608809,0.005785135154642074,8,8,8
V71,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.04090060108888782,0.005083996630413812,7,6,7
V72,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.04094047182421312,0.005365575881680962,8,8,11
V73,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.0306103387288702,0.010359770562931248,6,5,8
V74,15.131671254880521,7.659656133933914,8.760343640284034,7.472015120946607,6.3713276145964866,0.02341703750794666,0.0006788208922599015,9,6,8
V78,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.005176193466514989,0.011987190460102437,31,24,32
V79,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.03237358347397201,0.020620438705156507,8,8,8
V80,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.033867361683477926,0.016854367969268202,20,14,16
V81,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.0338187029841569,0.0166373637649061,20,15,16
V84,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.033857972578725026,0.016559378480173192,8,6,6
V85,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.0337737378494708,0.01627552585807779,8,8,8
V86,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.003068374609155322,0.0009968924008658675,31,20,12
V87,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.0056902602797075374,0.00270964344257163,31,20,23
V92,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.03952079457592528,0.02360498986448445,8,5,7
V93,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.03953746124259194,0.023621656531151114,8,8,8
V94,16.53595498550963,13.709486232939344,9.780878517966606,2.8264687525702854,6.755076467543024,0.02710707445347149,0.012593333708722732,2,3,3
V140,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.04332210031535355,0.0819966314629576,34,16,28
V146,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021298615090876383,0.02708446352906213,18,8,25
V147,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.0255270382059547,0.026793401630381575,18,8,27
V148,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021400089455991644,0.08216554160590289,16,6,21
V149,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021575748572438436,0.0819966314629576,16,6,21
V153,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021400089455991644,0.08216554160590289,8,5,19
V154,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021575748572438436,0.0819966314629576,9,5,19
V155,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021400089455991644,0.08216554160590289,15,6,25
V156,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021575748572438436,0.0819966314629576,17,6,25
V157,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021400089455991644,0.08216554160590289,16,6,25
V158,84.2347681782775,91.95877219719804,89.10375814226526,7.724004018920539,4.868989963987758,0.021575748572438436,0.0819966314629576,17,7,25
V170,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.031205846093808998,0.021384941539845576,49,38,45
V171,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.029276388883426,0.1029430127568034,49,62,45
V177,74.21996332654375,83.21197548006909,79.46399340716407,8.992012153525337,5.24403008062032,0.002868429815369944,0.08241760688583133,48,37,862
V188,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.031205846093808998,0.021384941539845576,18,19,31
V189,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.029276388883426,0.02126030602116051,18,20,31
V190,74.21996332654375,83.21197548006909,79.46399340716407,8.992012153525337,5.24403008062032,0.008810827399716392,0.01594230266397767,43,23,36
V197,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.031205846093808998,0.021384941539845576,15,7,8
V199,74.21996332654375,83.21197548006909,79.46399340716407,8.992012153525337,5.24403008062032,0.008424672813205136,0.029755908810158438,46,37,37
V200,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.031205846093808998,0.021384941539845576,46,37,38
V201,74.21730232378114,82.98054887616983,79.49560289452592,8.763246552388694,5.278300570744776,0.029276388883426,0.02126030602116051,46,56,38
V217,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.01994219510545603,0.06680770570560701,54,37,304
V219,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.02702974021180571,0.07450259078995769,78,41,379
V228,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.016166291672771727,0.05391975351041656,54,26,29
V230,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.020866712098786655,0.06060516834223717,65,36,38
V231,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.010466008827060391,0.04928665396591769,52,37,294
V232,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.011525845159388037,0.053385493243292004,52,57,338
V233,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.010855940020322974,0.05179268821334526,52,40,333
V242,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.008257298091712939,0.012742228864705551,20,18,19
V243,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.009861873179608294,0.01371199805352552,42,19,19
V244,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.011319147049208111,0.01662054990806805,22,19,20
V246,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.012391548080784354,0.024821885435090896,45,23,24
V247,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.011748507026958732,0.005387666670767066,12,6,18
V252,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.006091222375479766,0.001846825245255479,18,7,24
V257,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.010436303857014328,0.041739519914325895,48,37,24
V258,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.012541726428908384,0.04967942214106624,66,37,24
V262,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.010280342978116239,0.026325318177912505,21,8,13
id_01,73.41150230539603,82.32803874420023,78.9255032117497,8.9165364388042,5.514000906353672,0.07333191311040854,0.12253658504309417,69,41,42
id_02,74.01143747369235,82.79202086226167,79.45609103532361,8.780583388569312,5.444653561631256,0.12656829645477052,0.10974672135585106,91643,14897,17045
id_03,88.10604337918322,91.58848963095923,89.04279698806742,3.482446251776011,0.936753608884203,0.003895023967367739,0.011728246491347072,23,16,14
id_04,88.10604337918322,91.58848963095923,89.04279698806742,3.482446251776011,0.936753608884203,0.005334973805459101,0.002585633840914716,15,13,11
id_05,74.69652473039203,83.3824409297705,80.19214052674954,8.685916199378468,5.495615796357512,0.028684367747925092,0.0400414635681046,89,74,79
id_06,74.69652473039203,83.3824409297705,80.19214052674954,8.685916199378468,5.495615796357512,0.043289339966879725,0.034745857679327474,100,89,84
id_07,99.04929628572397,99.3429742269787,99.27411070094038,0.2936779412547281,0.22481441521641443,0.07986936334303928,0.18560579978551558,81,59,60
id_08,99.04929628572397,99.3429742269787,99.27411070094038,0.2936779412547281,0.22481441521641443,0.050856483303166236,0.0844328628130701,93,71,68
id_09,86.40783979795732,90.70229507456452,88.14305550851763,4.294455276607195,1.7352157105603112,0.008355374964539641,0.02184488329299572,40,26,33
id_10,86.40783979795732,90.70229507456452,88.14305550851763,4.294455276607195,1.7352157105603112,0.0032404865031588626,0.007117711911605495,58,26,30
id_11,73.98410171804015,82.79202086226167,79.46399340716407,8.807919144221515,5.479891689123917,0.013260302126600912,0.020232451705469043,344,131,144
id_13,76.91701058111462,83.68385996997098,80.30390264277892,6.7668493888563575,3.386892061664298,0.5103055070647762,0.27373673614170135,51,20,20
id_14,84.57634416925913,92.08859687743421,89.52597058059854,7.512252708175083,4.949626411339409,0.03224581468941995,0.0858137015056819,25,18,17
id_17,74.22794633483156,82.99409579932491,79.94039353811766,8.766149464493353,5.712447203286104,0.13893531126346714,0.0881031119232828,101,44,54
id_18,91.76951845526371,94.25384676172091,93.2265384224608,2.4843283064572006,1.4570199671970983,0.06723861305656686,0.08198026335126235,18,12,12
id_19,74.23592934311938,83.00312708142829,79.9516826407469,8.767197738308909,5.715753297627515,0.06242107622299542,0.07022255184138892,503,319,325
id_20,74.24004180193431,83.01441618405752,79.98554994863458,8.774374382123213,5.745508146700274,0.11698656359477377,0.14010697805939354,365,172,176
id_21,99.04808673901368,99.34636095776746,99.27185288041454,0.29827421875377524,0.2237661414008585,0.027985419368713967,0.08939058144459876,421,115,108
id_22,99.04711910164546,99.33958749618994,99.27185288041454,0.29246839454447127,0.22473377876907819,0.012473555047812473,0.01067323190279672,23,7,8
id_24,99.12694918452361,99.38587281696978,99.32942730382362,0.25892363244616945,0.20247811930001092,0.0653829071113067,0.07057692469163791,10,9,6
id_25,99.0529249258548,99.34523204750454,99.28088416251792,0.29230712164974193,0.2279592366631249,0.04195402298850575,0.04786725771947447,307,86,97
id_26,99.0485705576978,99.33958749618994,99.27185288041454,0.2910169384921346,0.22328232271674153,0.03078096579240744,0.08611096328620675,85,44,50
id_32,85.04758356758221,92.37759790474254,89.81271378738104,7.3300143371603355,4.765130219798834,0.07950599260384406,0.07670146502493913,4,3,4
DT_hour,0.0,0.0,0.0,0.0,0.0,0.031612610774319566,0.04798180958670595,24,24,24
has_identity,0.0,0.0,0.0,0.0,0.0,0.08990538744200227,0.055880032117497036,2,2,2
TransactionAmt_log1p,0.0,0.0,0.0,0.0,0.0,0.012708491945225275,0.015759559894334085,15931,5459,4977
TransactionAmt_outlier_iqr,0.0,0.0,0.0,0.0,0.0,0.007066853219087621,0.0077893557873583985,2,2,2
missing_V_count,0.0,0.0,0.0,0.0,0.0,0.09656081326695343,0.15476521545252364,111,122,83
missing_D_count,0.0,0.0,0.0,0.0,0.0,0.11281890049784943,0.15745601229383277,14,15,15
missing_id_count,0.0,0.0,0.0,0.0,0.0,0.08990538744200224,0.05588003211749698,28,26,27
missing_core_count,0.0,0.0,0.0,0.0,0.0,0.0747520142581366,0.05816832249579479,7,6,7
D1n,0.06604125038100721,1.0781093010916563,0.04628532077985121,1.012068050710649,0.019755929601156,0.4910901334459331,0.604382200135532,729,662,667
D2n,49.914122183570484,42.22350165385353,41.83854325419672,7.690620529716952,8.075578929373762,0.29789771358043987,0.4002027432712215,723,661,667
D10n,14.801465002975487,8.550366331380319,8.19814632934828,6.251098671595168,6.603318673627207,0.4524365571288078,0.5256213185110491,751,703,741
D15n,16.531842526694696,13.68690802768088,9.765073774285682,2.8449344990138155,6.766768752409014,0.36249856531558045,0.45344109294266305,773,714,754
ProductCD_label,0.0,0.0,0.0,0.0,0.0,0.09646718483647732,0.06459804811415537,5,5,5
ProductCD_freq,0.0,0.0,0.0,0.0,0.0,0.09646718483647734,0.0645980481141554,5,5,5
card4_label,0.0,0.0,0.0,0.0,0.0,0.012873251318002765,0.012647469265418099,5,5,5
card4_freq,0.0,0.0,0.0,0.0,0.0,0.009955321682979423,0.01255091808627129,5,5,5
card6_label,0.0,0.0,0.0,0.0,0.0,0.05281330646526908,0.03085600185141285,5,4,3
card6_freq,0.0,0.0,0.0,0.0,0.0,0.055004439157381374,0.024693198597893457,5,4,3
P_emaildomain_label,0.0,0.0,0.0,0.0,0.0,0.01913668055226292,0.026922513575145968,60,60,60
P_emaildomain_freq,0.0,0.0,0.0,0.0,0.0,0.019260452297896857,0.021665031157923287,58,58,58
R_emaildomain_label,0.0,0.0,0.0,0.0,0.0,0.07253317077025545,0.04108173084521505,61,56,59
R_emaildomain_freq,0.0,0.0,0.0,0.0,0.0,0.07253317077025545,0.0410817308452151,54,49,52
DeviceType_label,0.0,0.0,0.0,0.0,0.0,0.08858901118750062,0.05527486932863701,3,3,3
DeviceType_freq,0.0,0.0,0.0,0.0,0.0,0.0885890111875007,0.055274869328637066,3,3,3
DeviceInfo_label,0.0,0.0,0.0,0.0,0.0,0.08716078447974174,0.05706403687020922,1547,619,593
DeviceInfo_freq,0.0,0.0,0.0,0.0,0.0,0.08390952292252288,0.0514194855555932,119,120,118
M1_label,0.0,0.0,0.0,0.0,0.0,0.2703625503776205,0.25642050863051896,3,3,3
M1_freq,0.0,0.0,0.0,0.0,0.0,0.27040232922409996,0.25643770927174,3,3,3
M2_label,0.0,0.0,0.0,0.0,0.0,0.24715232047504548,0.21933597159661783,3,3,3
M2_freq,0.0,0.0,0.0,0.0,0.0,0.27040232922409996,0.25643770927174,3,3,3
M3_label,0.0,0.0,0.0,0.0,0.0,0.22405200466239933,0.19911437695442585,3,3,3
M3_freq,0.0,0.0,0.0,0.0,0.0,0.27040232922409996,0.25643770927174,3,3,3
M4_label,0.0,0.0,0.0,0.0,0.0,0.013907289091340147,0.018400351937774506,4,4,4
M4_freq,0.0,0.0,0.0,0.0,0.0,0.024146031315970706,0.027950458902021857,4,4,4
M5_label,0.0,0.0,0.0,0.0,0.0,0.03596822428060198,0.03701811082512052,3,3,3
M5_freq,0.0,0.0,0.0,0.0,0.0,0.03596822428060198,0.03701811082512052,3,3,3
M6_label,0.0,0.0,0.0,0.0,0.0,0.09712076094196276,0.06656116012463176,3,3,3
M6_freq,0.0,0.0,0.0,0.0,0.0,0.0971207609419627,0.06656116012463167,3,3,3
M7_label,0.0,0.0,0.0,0.0,0.0,0.2692950765401158,0.2826613740531265,3,3,3
M7_freq,0.0,0.0,0.0,0.0,0.0,0.26929507654011586,0.2826613740531265,3,3,3
M8_label,0.0,0.0,0.0,0.0,0.0,0.26937705602781636,0.28266432982242246,3,3,3
M8_freq,0.0,0.0,0.0,0.0,0.0,0.2693770560278163,0.28266432982242234,3,3,3
M9_label,0.0,0.0,0.0,0.0,0.0,0.26937705602781636,0.28266432982242246,3,3,3
M9_freq,0.0,0.0,0.0,0.0,0.0,0.2693770560278163,0.28266432982242234,3,3,3
