value,rows,fraud_rate,feature,global_fraud_rate,lift
earthlink.net,514,0.021400778210116732,P_emaildomain,0.03499000914417313,0.6116253963220412
ymail.com,2396,0.020868113522537562,P_emaildomain,0.03499000914417313,0.5964020597008824
cox.net,1393,0.0208183776022972,P_emaildomain,0.03499000914417313,0.5949806276562256
W,439670,0.020399390451929858,ProductCD,0.03499000914417313,0.5830061480657532
T,319415,0.01985504750872689,M1,0.03499000914417313,0.5674490517254793
me.com,556,0.019784172661870502,R_emaildomain,0.03499000914417313,0.5654234778948365
F,211374,0.01934485792954668,M7,0.03499000914417313,0.55286804441342
T,285468,0.018068575111746324,M2,0.03499000914417313,0.5163924089672688
T,205656,0.01778698408993659,M9,0.03499000914417313,0.5083446539452721
me.com,1522,0.017739816031537452,P_emaildomain,0.03499000914417313,0.5069966103307423
T,251731,0.017053918667148664,M3,0.03499000914417313,0.4873939471372972
T,193324,0.01704392625850903,M6,0.03499000914417313,0.48710836822823034
optonline.net,1011,0.016815034619188922,P_emaildomain,0.03499000914417313,0.4805667397771779
T,89037,0.016217976796163394,M8,0.03499000914417313,0.46350307395858936
comcast.net,1812,0.011589403973509934,R_emaildomain,0.03499000914417313,0.3312203756722914
yahoo.com.mx,1508,0.010610079575596816,R_emaildomain,0.03499000914417313,0.3032316891338598
yahoo.com.mx,1543,0.010369410239792612,P_emaildomain,0.03499000914417313,0.2963534589850036
mac.com,218,0.009174311926605505,R_emaildomain,0.03499000914417313,0.2621980431272136
verizon.net,2705,0.008133086876155268,P_emaildomain,0.03499000914417313,0.2324402615227572
att.net,4033,0.007438631291842301,P_emaildomain,0.03499000914417313,0.21259300794098404
prodigy.net.mx,207,0.004830917874396135,R_emaildomain,0.03499000914417313,0.138065636236069
bellsouth.net,422,0.004739336492890996,R_emaildomain,0.03499000914417313,0.13544827820315775
sbcglobal.net,2970,0.00404040404040404,P_emaildomain,0.03499000914417313,0.11547307757925772
rocketmail.com,664,0.0030120481927710845,P_emaildomain,0.03499000914417313,0.08608309247248881
sbcglobal.net,552,0.0018115942028985507,R_emaildomain,0.03499000914417313,0.05177461358852588
msn.com,852,0.0011737089201877935,R_emaildomain,0.03499000914417313,0.03354411584608719
verizon.net,620,0.0,R_emaildomain,0.03499000914417313,0.0
att.net,430,0.0,R_emaildomain,0.03499000914417313,0.0
hotmail.fr,293,0.0,R_emaildomain,0.03499000914417313,0.0
web.de,237,0.0,R_emaildomain,0.03499000914417313,0.0
debit or credit,30,0.0,card6,0.03499000914417313,0.0
F,25,0.0,M1,0.03499000914417313,0.0
charge card,15,0.0,card6,0.03499000914417313,0.0
