feature,train_missing_pct,test_missing_pct,missing_delta_abs,train_nunique,test_nunique,dtype
D3,44.514850814508755,40.0918903236884,4.422960490820351,649,887.0,float32
R_emaildomain,76.75161716395164,73.18484046489873,3.566776699052909,60,60.0,category
V167,76.35536966166559,73.01432233846664,3.34104732319895,873,239.0,float32
V168,76.35536966166559,73.01432233846664,3.34104732319895,965,258.0,float32
V172,76.35536966166559,73.01432233846664,3.34104732319895,32,38.0,float32
V173,76.35536966166559,73.01432233846664,3.34104732319895,8,10.0,float32
V176,76.35536966166559,73.01432233846664,3.34104732319895,49,239.0,float32
V177,76.35536966166559,73.01432233846664,3.34104732319895,862,239.0,float32
V178,76.35536966166559,73.01432233846664,3.34104732319895,1236,258.0,float32
V179,76.35536966166559,73.01432233846664,3.34104732319895,921,258.0,float32
V181,76.35536966166559,73.01432233846664,3.34104732319895,25,86.0,float32
V182,76.35536966166559,73.01432233846664,3.34104732319895,84,126.0,float32
V183,76.35536966166559,73.01432233846664,3.34104732319895,42,107.0,float32
V186,76.35536966166559,73.01432233846664,3.34104732319895,39,40.0,float32
V187,76.35536966166559,73.01432233846664,3.34104732319895,215,156.0,float32
V190,76.35536966166559,73.01432233846664,3.34104732319895,43,225.0,float32
V191,76.35536966166559,73.01432233846664,3.34104732319895,22,21.0,float32
V192,76.35536966166559,73.01432233846664,3.34104732319895,45,38.0,float32
V193,76.35536966166559,73.01432233846664,3.34104732319895,38,33.0,float32
V196,76.35536966166559,73.01432233846664,3.34104732319895,39,42.0,float32
V199,76.35536966166559,73.01432233846664,3.34104732319895,46,225.0,float32
V202,76.35536966166559,73.01432233846664,3.34104732319895,10970,9563.0,float32
V203,76.35536966166559,73.01432233846664,3.34104732319895,14951,13940.0,float32
V204,76.35536966166559,73.01432233846664,3.34104732319895,12858,11818.0,float32
V205,76.35536966166559,73.01432233846664,3.34104732319895,2240,1979.0,float32
V206,76.35536966166559,73.01432233846664,3.34104732319895,1780,1562.0,float32
V207,76.35536966166559,73.01432233846664,3.34104732319895,3246,2891.0,float32
V211,76.35536966166559,73.01432233846664,3.34104732319895,7624,6540.0,float32
V212,76.35536966166559,73.01432233846664,3.34104732319895,8868,7976.0,float32
V213,76.35536966166559,73.01432233846664,3.34104732319895,8317,7440.0,float32
V214,76.35536966166559,73.01432233846664,3.34104732319895,2282,2044.0,float32
V215,76.35536966166559,73.01432233846664,3.34104732319895,2747,2508.0,float32
V216,76.35536966166559,73.01432233846664,3.34104732319895,2532,2251.0,float32
V169,76.32353439225116,73.08517419887072,3.2383601933804442,20,40.0,float32
V170,76.32353439225116,73.08517419887072,3.2383601933804442,49,64.0,float32
V171,76.32353439225116,73.08517419887072,3.2383601933804442,62,69.0,float32
V174,76.32353439225116,73.08517419887072,3.2383601933804442,9,7.0,float32
V175,76.32353439225116,73.08517419887072,3.2383601933804442,15,23.0,float32
V180,76.32353439225116,73.08517419887072,3.2383601933804442,84,180.0,float32
V184,76.32353439225116,73.08517419887072,3.2383601933804442,17,13.0,float32
V185,76.32353439225116,73.08517419887072,3.2383601933804442,32,13.0,float32
V188,76.32353439225116,73.08517419887072,3.2383601933804442,31,45.0,float32
V189,76.32353439225116,73.08517419887072,3.2383601933804442,31,45.0,float32
V194,76.32353439225116,73.08517419887072,3.2383601933804442,8,8.0,float32
V195,76.32353439225116,73.08517419887072,3.2383601933804442,17,19.0,float32
V197,76.32353439225116,73.08517419887072,3.2383601933804442,15,12.0,float32
V198,76.32353439225116,73.08517419887072,3.2383601933804442,22,29.0,float32
V200,76.32353439225116,73.08517419887072,3.2383601933804442,46,48.0,float32
V201,76.32353439225116,73.08517419887072,3.2383601933804442,56,48.0,float32
V208,76.32353439225116,73.08517419887072,3.2383601933804442,2552,2099.0,float32
V209,76.32353439225116,73.08517419887072,3.2383601933804442,3451,3243.0,float32
V210,76.32353439225116,73.08517419887072,3.2383601933804442,2836,2478.0,float32
DeviceType,76.15572188166763,72.97544262676858,3.180279254899048,2,2.0,category
V220,76.0531039387679,72.89945943385614,3.1536445049117674,26,44.0,float32
V221,76.0531039387679,72.89945943385614,3.1536445049117674,77,60.0,float32
V222,76.0531039387679,72.89945943385614,3.1536445049117674,76,292.0,float32
V227,76.0531039387679,72.89945943385614,3.1536445049117674,50,40.0,float32
V234,76.0531039387679,72.89945943385614,3.1536445049117674,122,308.0,float32
V238,76.0531039387679,72.89945943385614,3.1536445049117674,24,13.0,float32
V239,76.0531039387679,72.89945943385614,3.1536445049117674,24,13.0,float32
V245,76.0531039387679,72.89945943385614,3.1536445049117674,58,37.0,float32
V250,76.0531039387679,72.89945943385614,3.1536445049117674,19,9.0,float32
V251,76.0531039387679,72.89945943385614,3.1536445049117674,19,12.0,float32
V255,76.0531039387679,72.89945943385614,3.1536445049117674,46,34.0,float32
V256,76.0531039387679,72.89945943385614,3.1536445049117674,48,34.0,float32
V259,76.0531039387679,72.89945943385614,3.1536445049117674,68,57.0,float32
V270,76.0531039387679,72.89945943385614,3.1536445049117674,2340,1981.0,float32
V271,76.0531039387679,72.89945943385614,3.1536445049117674,2787,2614.0,float32
V272,76.0531039387679,72.89945943385614,3.1536445049117674,2507,2188.0,float32
V217,77.91343516103905,74.98909591841971,2.9243392426193395,304,239.0,float32
V218,77.91343516103905,74.98909591841971,2.9243392426193395,401,291.0,float32
V219,77.91343516103905,74.98909591841971,2.9243392426193395,379,291.0,float32
V223,77.91343516103905,74.98909591841971,2.9243392426193395,17,9.0,float32
V224,77.91343516103905,74.98909591841971,2.9243392426193395,79,50.0,float32
V225,77.91343516103905,74.98909591841971,2.9243392426193395,35,21.0,float32
V226,77.91343516103905,74.98909591841971,2.9243392426193395,81,82.0,float32
V228,77.91343516103905,74.98909591841971,2.9243392426193395,55,239.0,float32
V229,77.91343516103905,74.98909591841971,2.9243392426193395,91,262.0,float32
V230,77.91343516103905,74.98909591841971,2.9243392426193395,66,262.0,float32
V231,77.91343516103905,74.98909591841971,2.9243392426193395,294,239.0,float32
V232,77.91343516103905,74.98909591841971,2.9243392426193395,338,291.0,float32
V233,77.91343516103905,74.98909591841971,2.9243392426193395,333,291.0,float32
V235,77.91343516103905,74.98909591841971,2.9243392426193395,24,16.0,float32
V236,77.91343516103905,74.98909591841971,2.9243392426193395,46,48.0,float32
V237,77.91343516103905,74.98909591841971,2.9243392426193395,40,27.0,float32
V240,77.91343516103905,74.98909591841971,2.9243392426193395,6,5.0,float32
V241,77.91343516103905,74.98909591841971,2.9243392426193395,5,3.0,float32
V242,77.91343516103905,74.98909591841971,2.9243392426193395,21,28.0,float32
V243,77.91343516103905,74.98909591841971,2.9243392426193395,43,44.0,float32
V244,77.91343516103905,74.98909591841971,2.9243392426193395,23,34.0,float32
V246,77.91343516103905,74.98909591841971,2.9243392426193395,46,225.0,float32
V247,77.91343516103905,74.98909591841971,2.9243392426193395,19,11.0,float32
V248,77.91343516103905,74.98909591841971,2.9243392426193395,23,27.0,float32
V249,77.91343516103905,74.98909591841971,2.9243392426193395,23,19.0,float32
V252,77.91343516103905,74.98909591841971,2.9243392426193395,25,17.0,float32
V253,77.91343516103905,74.98909591841971,2.9243392426193395,66,72.0,float32
V254,77.91343516103905,74.98909591841971,2.9243392426193395,45,37.0,float32
V257,77.91343516103905,74.98909591841971,2.9243392426193395,49,225.0,float32
V258,77.91343516103905,74.98909591841971,2.9243392426193395,67,270.0,float32
V260,77.91343516103905,74.98909591841971,2.9243392426193395,9,15.0,float32
V261,77.91343516103905,74.98909591841971,2.9243392426193395,41,67.0,float32
V262,77.91343516103905,74.98909591841971,2.9243392426193395,21,32.0,float32
V263,77.91343516103905,74.98909591841971,2.9243392426193395,10422,9587.0,float32
V264,77.91343516103905,74.98909591841971,2.9243392426193395,13358,12700.0,float32
V265,77.91343516103905,74.98909591841971,2.9243392426193395,11757,11091.0,float32
V266,77.91343516103905,74.98909591841971,2.9243392426193395,2178,1915.0,float32
V267,77.91343516103905,74.98909591841971,2.9243392426193395,3616,3365.0,float32
V268,77.91343516103905,74.98909591841971,2.9243392426193395,2756,2459.0,float32
V269,77.91343516103905,74.98909591841971,2.9243392426193395,151,154.0,float32
V273,77.91343516103905,74.98909591841971,2.9243392426193395,7177,6776.0,float32
V274,77.91343516103905,74.98909591841971,2.9243392426193395,8315,7954.0,float32
V275,77.91343516103905,74.98909591841971,2.9243392426193395,7776,7494.0,float32
V276,77.91343516103905,74.98909591841971,2.9243392426193395,2263,1962.0,float32
V277,77.91343516103905,74.98909591841971,2.9243392426193395,2540,2228.0,float32
V278,77.91343516103905,74.98909591841971,2.9243392426193395,2398,2080.0,float32
D12,89.04104717715988,86.33210378712076,2.708943390039124,635,866.0,float32
M6,28.678836319300977,31.36803298262649,2.6891966633255144,2,2.0,category
DeviceInfo,79.90551021099333,77.29247213785128,2.61303807314205,1786,2226.0,category
P_emaildomain,15.99485216920107,13.655659958436207,2.339192210764864,59,60.0,category
dist1,59.6523520845328,57.47427919580178,2.1780728887310232,2651,1988.0,float32
D8,87.31229044603245,85.32873092279121,1.9835595232412402,12353,13244.0,float32
D9,87.31229044603245,85.32873092279121,1.9835595232412402,24,24.0,float32
addr1,11.12642666034477,12.948522866993889,1.8220962066491193,332,292.0,float32
addr2,11.12642666034477,12.948522866993889,1.8220962066491193,74,72.0,float32
M5,59.34940901547736,61.10864412432824,1.7592351088508735,2,2.0,category
D2,47.54919226470688,46.33376160223884,1.2154306624680444,641,642.0,float32
V322,86.05496664070174,84.91565865586719,1.139307984834545,881,87.0,float32
V323,86.05496664070174,84.91565865586719,1.139307984834545,1411,129.0,float32
V324,86.05496664070174,84.91565865586719,1.139307984834545,976,109.0,float32
V325,86.05496664070174,84.91565865586719,1.139307984834545,13,9.0,float32
V326,86.05496664070174,84.91565865586719,1.139307984834545,45,45.0,float32
V327,86.05496664070174,84.91565865586719,1.139307984834545,19,32.0,float32
V328,86.05496664070174,84.91565865586719,1.139307984834545,16,86.0,float32
V329,86.05496664070174,84.91565865586719,1.139307984834545,100,126.0,float32
V330,86.05496664070174,84.91565865586719,1.139307984834545,56,107.0,float32
V331,86.05496664070174,84.91565865586719,1.139307984834545,1758,605.0,float32
V332,86.05496664070174,84.91565865586719,1.139307984834545,2453,1451.0,float32
V333,86.05496664070174,84.91565865586719,1.139307984834545,1971,955.0,float32
V334,86.05496664070174,84.91565865586719,1.139307984834545,143,163.0,float32
V335,86.05496664070174,84.91565865586719,1.139307984834545,672,780.0,float32
V336,86.05496664070174,84.91565865586719,1.139307984834545,356,369.0,float32
V337,86.05496664070174,84.91565865586719,1.139307984834545,254,328.0,float32
V338,86.05496664070174,84.91565865586719,1.139307984834545,380,570.0,float32
V339,86.05496664070174,84.91565865586719,1.139307984834545,334,447.0,float32
V143,86.12270125647711,84.98986561829597,1.1328356381811489,870,57.0,float32
V144,86.12270125647711,84.98986561829597,1.1328356381811489,63,86.0,float32
V145,86.12270125647711,84.98986561829597,1.1328356381811489,260,280.0,float32
V150,86.12270125647711,84.98986561829597,1.1328356381811489,1996,2151.0,float32
V151,86.12270125647711,84.98986561829597,1.1328356381811489,56,58.0,float32
V152,86.12270125647711,84.98986561829597,1.1328356381811489,39,34.0,float32
V159,86.12270125647711,84.98986561829597,1.1328356381811489,6663,6247.0,float32
V160,86.12270125647711,84.98986561829597,1.1328356381811489,9621,7955.0,float32
V164,86.12270125647711,84.98986561829597,1.1328356381811489,1978,1026.0,float32
V165,86.12270125647711,84.98986561829597,1.1328356381811489,2547,1501.0,float32
V166,86.12270125647711,84.98986561829597,1.1328356381811489,987,1520.0,float32
V138,86.12371727571374,85.04315253280599,1.0805647429077538,23,21.0,float32
V139,86.12371727571374,85.04315253280599,1.0805647429077538,34,29.0,float32
V140,86.12371727571374,85.04315253280599,1.0805647429077538,34,60.0,float32
V141,86.12371727571374,85.04315253280599,1.0805647429077538,6,7.0,float32
V142,86.12371727571374,85.04315253280599,1.0805647429077538,10,12.0,float32
V146,86.12371727571374,85.04315253280599,1.0805647429077538,25,13.0,float32
V147,86.12371727571374,85.04315253280599,1.0805647429077538,27,23.0,float32
V148,86.12371727571374,85.04315253280599,1.0805647429077538,21,12.0,float32
V149,86.12371727571374,85.04315253280599,1.0805647429077538,21,12.0,float32
V153,86.12371727571374,85.04315253280599,1.0805647429077538,19,9.0,float32
V154,86.12371727571374,85.04315253280599,1.0805647429077538,19,10.0,float32
V155,86.12371727571374,85.04315253280599,1.0805647429077538,25,12.0,float32
V156,86.12371727571374,85.04315253280599,1.0805647429077538,25,12.0,float32
V157,86.12371727571374,85.04315253280599,1.0805647429077538,25,14.0,float32
V158,86.12371727571374,85.04315253280599,1.0805647429077538,25,14.0,float32
V161,86.12371727571374,85.04315253280599,1.0805647429077538,79,76.0,float32
V162,86.12371727571374,85.04315253280599,1.0805647429077538,185,204.0,float32
V163,86.12371727571374,85.04315253280599,1.0805647429077538,106,110.0,float32
D1,0.21488806854743114,1.1902717829998954,0.9753837144524643,641,642.0,float32
V281,0.21488806854743114,1.1902717829998954,0.9753837144524643,23,31.0,float32
V282,0.21488806854743114,1.1902717829998954,0.9753837144524643,33,64.0,float32
V283,0.21488806854743114,1.1902717829998954,0.9753837144524643,62,69.0,float32
V288,0.21488806854743114,1.1902717829998954,0.9753837144524643,11,7.0,float32
V289,0.21488806854743114,1.1902717829998954,0.9753837144524643,13,12.0,float32
V296,0.21488806854743114,1.1902717829998954,0.9753837144524643,94,180.0,float32
V300,0.21488806854743114,1.1902717829998954,0.9753837144524643,12,15.0,float32
V301,0.21488806854743114,1.1902717829998954,0.9753837144524643,14,15.0,float32
V313,0.21488806854743114,1.1902717829998954,0.9753837144524643,5529,4112.0,float32
V314,0.21488806854743114,1.1902717829998954,0.9753837144524643,11377,9051.0,float32
V315,0.21488806854743114,1.1902717829998954,0.9753837144524643,6973,5376.0,float32
C13,0.0,0.9370602596059532,0.9370602596059532,1597,1069.0,float32
dist2,93.62837403054831,92.8090295663432,0.8193444642051162,1751,1814.0,float32
M4,47.658753005723575,46.92110181550491,0.7376511902186635,3,3.0,category
card4,0.267043722694483,0.6090496969553436,0.3420059742608606,4,4.0,category
card3,0.26501168422122123,0.5924715457744464,0.32745986155322515,114,115.0,float32
card6,0.26602770345785215,0.5934583404875949,0.3274306370297428,4,3.0,category
card2,1.5126833068039423,1.7079442895176746,0.19526098271373238,500,497.0,float32
card5,0.7212043214684865,0.8973911121373777,0.1761867906688912,119,102.0,float32
V95,0.053171673383682734,0.0,0.053171673383682734,881,61.0,float32
V96,0.053171673383682734,0.0,0.053171673383682734,1410,104.0,float32
V97,0.053171673383682734,0.0,0.053171673383682734,976,83.0,float32
V98,0.053171673383682734,0.0,0.053171673383682734,13,9.0,float32
V99,0.053171673383682734,0.0,0.053171673383682734,89,63.0,float32
V100,0.053171673383682734,0.0,0.053171673383682734,29,31.0,float32
V101,0.053171673383682734,0.0,0.053171673383682734,870,19.0,float32
V102,0.053171673383682734,0.0,0.053171673383682734,1285,69.0,float32
V103,0.053171673383682734,0.0,0.053171673383682734,928,30.0,float32
V104,0.053171673383682734,0.0,0.053171673383682734,16,60.0,float32
V105,0.053171673383682734,0.0,0.053171673383682734,100,100.0,float32
V106,0.053171673383682734,0.0,0.053171673383682734,56,81.0,float32
V107,0.053171673383682734,0.0,0.053171673383682734,2,1.0,float32
V108,0.053171673383682734,0.0,0.053171673383682734,8,9.0,float32
V109,0.053171673383682734,0.0,0.053171673383682734,8,9.0,float32
V110,0.053171673383682734,0.0,0.053171673383682734,8,9.0,float32
V111,0.053171673383682734,0.0,0.053171673383682734,10,9.0,float32
V112,0.053171673383682734,0.0,0.053171673383682734,10,9.0,float32
V113,0.053171673383682734,0.0,0.053171673383682734,10,9.0,float32
V114,0.053171673383682734,0.0,0.053171673383682734,7,10.0,float32
V115,0.053171673383682734,0.0,0.053171673383682734,7,10.0,float32
V116,0.053171673383682734,0.0,0.053171673383682734,7,10.0,float32
V117,0.053171673383682734,0.0,0.053171673383682734,4,3.0,float32
V118,0.053171673383682734,0.0,0.053171673383682734,4,4.0,float32
V119,0.053171673383682734,0.0,0.053171673383682734,4,3.0,float32
V120,0.053171673383682734,0.0,0.053171673383682734,4,5.0,float32
V121,0.053171673383682734,0.0,0.053171673383682734,4,5.0,float32
V122,0.053171673383682734,0.0,0.053171673383682734,4,5.0,float32
V123,0.053171673383682734,0.0,0.053171673383682734,14,13.0,float32
V124,0.053171673383682734,0.0,0.053171673383682734,14,14.0,float32
V125,0.053171673383682734,0.0,0.053171673383682734,14,13.0,float32
V126,0.053171673383682734,0.0,0.053171673383682734,10299,7845.0,float32
V127,0.053171673383682734,0.0,0.053171673383682734,24414,18871.0,float32
V128,0.053171673383682734,0.0,0.053171673383682734,14507,10913.0,float32
V129,0.053171673383682734,0.0,0.053171673383682734,1968,1445.0,float32
V130,0.053171673383682734,0.0,0.053171673383682734,12332,10195.0,float32
V131,0.053171673383682734,0.0,0.053171673383682734,4444,3492.0,float32
V132,0.053171673383682734,0.0,0.053171673383682734,6560,4444.0,float32
V133,0.053171673383682734,0.0,0.053171673383682734,9949,6586.0,float32
V134,0.053171673383682734,0.0,0.053171673383682734,8178,5445.0,float32
V135,0.053171673383682734,0.0,0.053171673383682734,3724,3871.0,float32
V136,0.053171673383682734,0.0,0.053171673383682734,4852,5158.0,float32
V137,0.053171673383682734,0.0,0.053171673383682734,4252,4429.0,float32
V279,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,881,87.0,float32
V280,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,975,109.0,float32
V284,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,13,9.0,float32
V285,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,96,91.0,float32
V286,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,9,7.0,float32
V287,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,32,32.0,float32
V290,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,58,49.0,float32
V291,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,219,145.0,float32
V292,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,173,70.0,float32
V293,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,870,63.0,float32
V294,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,1286,190.0,float32
V295,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,928,72.0,float32
V297,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,13,86.0,float32
V298,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,94,126.0,float32
V299,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,50,107.0,float32
V302,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,17,14.0,float32
V303,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,21,18.0,float32
V304,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,17,18.0,float32
V305,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,2,2.0,float32
V306,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,16210,13260.0,float32
V307,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,37367,29592.0,float32
V308,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,23064,18941.0,float32
V309,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,4236,3204.0,float32
V310,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,19136,15384.0,float32
V311,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,3098,2312.0,float32
V312,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,8068,6438.0,float32
V316,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,9814,7560.0,float32
V317,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,15184,11279.0,float32
V318,0.0020320384732617604,0.000592076827889187,0.0014399616453725735,12309,9489.0,float32
