feature,measure,association,signed_correlation,non_null_rows,missing_rate
C14,pearson_r,0.010112333891303215,0.010112333891303215,391716,0.0
D1,pearson_r,0.06141604740006093,-0.06141604740006093,391443,0.0006969334926324173
D2,pearson_r,0.08320614056764239,-0.08320614056764239,195547,0.5007939425502149
D3,pearson_r,0.04478974721449788,-0.04478974721449788,206268,0.4734246239622584
D4,pearson_r,0.06162102853002779,-0.06162102853002779,273116,0.30277037445496224
D5,pearson_r,0.06660273612506244,-0.06660273612506244,177691,0.5463779881342605
D6,pearson_r,0.04620221228991742,-0.04620221228991742,48425,0.8763772733306784
D7,pearson_r,0.1362614540822566,-0.1362614540822566,24693,0.9369619826609074
D8,pearson_r,0.13391162885388946,-0.13391162885388946,53724,0.8628496155377876
D9,pearson_r,0.042276997037757544,-0.042276997037757544,53724,0.8628496155377876
D10,pearson_r,0.06523369060114606,-0.06523369060114606,331830,0.15288116901020127
D11,pearson_r,0.04070996789288815,-0.04070996789288815,172966,0.5584402985836677
D12,pearson_r,0.021519699671598926,-0.021519699671598926,43351,0.8893305353878831
D13,pearson_r,0.049614970397346345,-0.049614970397346345,40411,0.8968359730008476
D14,pearson_r,0.014208311401827824,0.014208311401827824,41634,0.8937138130686518
D15,pearson_r,0.07224007834764802,-0.07224007834764802,324651,0.1712082222834911
M1,cramers_v,0.07257203625621919,,176324,0.5498677613372954
M2,cramers_v,0.07488827049591608,,176324,0.5498677613372954
M3,cramers_v,0.07584102824262672,,176324,0.5498677613372954
M4,cramers_v,0.13954201637786987,,199901,0.48967874684720564
M5,cramers_v,0.024672007206049024,,154357,0.6059466552298094
M6,cramers_v,0.11086150778291744,,269083,0.3130660989083928
M7,cramers_v,0.05689502014611471,,124066,0.6832756384727711
M8,cramers_v,0.057423499653587465,,124069,0.683267979862962
M9,cramers_v,0.0588205844580002,,124069,0.683267979862962
V1,pearson_r,0.0009025948311130101,0.0009025948311130101,172966,0.5584402985836677
V2,pearson_r,0.020433531717851523,0.020433531717851523,172966,0.5584402985836677
V3,pearson_r,0.05638011883425893,0.05638011883425893,172966,0.5584402985836677
V4,pearson_r,0.014554806225973134,0.014554806225973134,172966,0.5584402985836677
V5,pearson_r,0.04613208683603144,0.04613208683603144,172966,0.5584402985836677
V6,pearson_r,0.005939504322138392,0.005939504322138392,172966,0.5584402985836677
V7,pearson_r,0.024281026669317612,0.024281026669317612,172966,0.5584402985836677
V8,pearson_r,0.016178262204529368,0.016178262204529368,172966,0.5584402985836677
V9,pearson_r,0.039447914039170404,0.039447914039170404,172966,0.5584402985836677
V10,pearson_r,0.08016946543358001,-0.08016946543358001,172966,0.5584402985836677
V11,pearson_r,0.07855727868552595,-0.07855727868552595,172966,0.5584402985836677
V12,pearson_r,0.043750498667263285,-0.043750498667263285,331804,0.1529475436285472
V13,pearson_r,0.03669771290705107,-0.03669771290705107,331804,0.1529475436285472
V14,pearson_r,0.0018512821704037945,0.0018512821704037945,331804,0.1529475436285472
V15,pearson_r,0.16410714530539505,0.16410714530539505,331804,0.1529475436285472
V16,pearson_r,0.15986122826357674,0.15986122826357674,331804,0.1529475436285472
V17,pearson_r,0.1745818904773688,0.1745818904773688,331804,0.1529475436285472
V18,pearson_r,0.1756971309363508,0.1756971309363508,331804,0.1529475436285472
V19,pearson_r,0.0268218616668056,0.0268218616668056,331804,0.1529475436285472
V20,pearson_r,0.03786120870830401,0.03786120870830401,331804,0.1529475436285472
V21,pearson_r,0.15534849268609383,0.15534849268609383,331804,0.1529475436285472
V22,pearson_r,0.1521734586414354,0.1521734586414354,331804,0.1529475436285472
V23,pearson_r,0.14822572547232374,0.14822572547232374,331804,0.1529475436285472
V24,pearson_r,0.12692659035211215,0.12692659035211215,331804,0.1529475436285472
V25,pearson_r,0.002097234698311727,0.002097234698311727,331804,0.1529475436285472
V26,pearson_r,0.014617121138413406,0.014617121138413406,331804,0.1529475436285472
V27,pearson_r,0.004981757886724189,-0.004981757886724189,331804,0.1529475436285472
V28,pearson_r,0.004987831080411291,-0.004987831080411291,331804,0.1529475436285472
V29,pearson_r,0.1093013080299527,-0.1093013080299527,331804,0.1529475436285472
V30,pearson_r,0.10584353355024491,-0.10584353355024491,331804,0.1529475436285472
V31,pearson_r,0.1512918057611851,0.1512918057611851,331804,0.1529475436285472
V32,pearson_r,0.14836008635969752,0.14836008635969752,331804,0.1529475436285472
V33,pearson_r,0.17181601366874397,0.17181601366874397,331804,0.1529475436285472
V34,pearson_r,0.1691891151396888,0.1691891151396888,331804,0.1529475436285472
V35,pearson_r,0.06304767478761142,-0.06304767478761142,273090,0.3028367490733082
V36,pearson_r,0.05382236005636895,-0.05382236005636895,273090,0.3028367490733082
V37,pearson_r,0.1600984118174606,0.1600984118174606,273090,0.3028367490733082
V38,pearson_r,0.1841522836715072,0.1841522836715072,273090,0.3028367490733082
V39,pearson_r,0.18466245184033525,0.18466245184033525,273090,0.3028367490733082
V40,pearson_r,0.1981832422943799,0.1981832422943799,273090,0.3028367490733082
V41,pearson_r,0.003608757468661848,0.003608757468661848,273090,0.3028367490733082
V42,pearson_r,0.17069471507689285,0.17069471507689285,273090,0.3028367490733082
V43,pearson_r,0.18197437824840995,0.18197437824840995,273090,0.3028367490733082
V44,pearson_r,0.2510598899911574,0.2510598899911574,273090,0.3028367490733082
V45,pearson_r,0.2736047611013375,0.2736047611013375,273090,0.3028367490733082
V46,pearson_r,0.12415376998379724,0.12415376998379724,273090,0.3028367490733082
V47,pearson_r,0.16405135441952104,0.16405135441952104,273090,0.3028367490733082
V48,pearson_r,0.11306277699865254,-0.11306277699865254,273090,0.3028367490733082
V49,pearson_r,0.1086822029004232,-0.1086822029004232,273090,0.3028367490733082
V50,pearson_r,0.162875626968409,0.162875626968409,273090,0.3028367490733082
V51,pearson_r,0.20911446386998098,0.20911446386998098,273090,0.3028367490733082
V52,pearson_r,0.22692849247226993,0.22692849247226993,273090,0.3028367490733082
V53,pearson_r,0.037545514726085624,-0.037545514726085624,330639,0.1559216371044328
V54,pearson_r,0.0260471739976054,-0.0260471739976054,330639,0.1559216371044328
V55,pearson_r,0.0394259873079393,0.0394259873079393,330639,0.1559216371044328
V56,pearson_r,0.06361449847847826,0.06361449847847826,330639,0.1559216371044328
V57,pearson_r,0.1570498508176928,0.1570498508176928,330639,0.1559216371044328
V58,pearson_r,0.16742494460418836,0.16742494460418836,330639,0.1559216371044328
V59,pearson_r,0.1409342529941681,0.1409342529941681,330639,0.1559216371044328
V60,pearson_r,0.1443690573629577,0.1443690573629577,330639,0.1559216371044328
V61,pearson_r,0.05317154319274813,0.05317154319274813,330639,0.1559216371044328
V62,pearson_r,0.0812383420749338,0.0812383420749338,330639,0.1559216371044328
V63,pearson_r,0.1445752996112345,0.1445752996112345,330639,0.1559216371044328
V64,pearson_r,0.14527562048172607,0.14527562048172607,330639,0.1559216371044328
V65,pearson_r,0.0016705974952721085,0.0016705974952721085,330639,0.1559216371044328
V66,pearson_r,0.0391023039435064,0.0391023039435064,330639,0.1559216371044328
V67,pearson_r,0.08096473211311496,0.08096473211311496,330639,0.1559216371044328
V68,pearson_r,0.0039952262451199505,-0.0039952262451199505,330639,0.1559216371044328
V69,pearson_r,0.10620432010773807,-0.10620432010773807,330639,0.1559216371044328
V70,pearson_r,0.10321515312244195,-0.10321515312244195,330639,0.1559216371044328
V71,pearson_r,0.1469827129749477,0.1469827129749477,330639,0.1559216371044328
V72,pearson_r,0.15608348446903306,0.15608348446903306,330639,0.1559216371044328
V73,pearson_r,0.16370570416794075,0.16370570416794075,330639,0.1559216371044328
V74,pearson_r,0.17599207967064542,0.17599207967064542,330639,0.1559216371044328
V75,pearson_r,0.04026383159577922,-0.04026383159577922,324637,0.17124396246260046
V76,pearson_r,0.032024469983537286,-0.032024469983537286,324637,0.17124396246260046
V77,pearson_r,0.14036314366920827,0.14036314366920827,324637,0.17124396246260046
V78,pearson_r,0.1547646674268624,0.1547646674268624,324637,0.17124396246260046
V79,pearson_r,0.19041335004354437,0.19041335004354437,324637,0.17124396246260046
V80,pearson_r,0.16490932215700785,0.16490932215700785,324637,0.17124396246260046
V81,pearson_r,0.17276950827407825,0.17276950827407825,324637,0.17124396246260046
V82,pearson_r,0.051116515128158034,0.051116515128158034,324637,0.17124396246260046
V83,pearson_r,0.07754833601126063,0.07754833601126063,324637,0.17124396246260046
V84,pearson_r,0.15349717685916298,0.15349717685916298,324637,0.17124396246260046
V85,pearson_r,0.16186255807509098,0.16186255807509098,324637,0.17124396246260046
V86,pearson_r,0.23833793737466252,0.23833793737466252,324637,0.17124396246260046
V87,pearson_r,0.24469033166688806,0.24469033166688806,324637,0.17124396246260046
V88,pearson_r,0.0024959986884921506,-0.0024959986884921506,324637,0.17124396246260046
V89,pearson_r,0.0052451731596525894,-0.0052451731596525894,324637,0.17124396246260046
V90,pearson_r,0.11038449649276526,-0.11038449649276526,324637,0.17124396246260046
V91,pearson_r,0.10649007789626394,-0.10649007789626394,324637,0.17124396246260046
V92,pearson_r,0.16563472530104717,0.16563472530104717,324637,0.17124396246260046
V93,pearson_r,0.17453718637214716,0.17453718637214716,324637,0.17124396246260046
V94,pearson_r,0.17701108180745542,0.17701108180745542,324637,0.17124396246260046
V95,pearson_r,0.09182980799779489,0.09182980799779489,391716,0.0
V96,pearson_r,0.02546929398246086,0.02546929398246086,391716,0.0
V97,pearson_r,0.06630318789307398,0.06630318789307398,391716,0.0
V98,pearson_r,0.03126759477611944,0.03126759477611944,391716,0.0
V99,pearson_r,0.007993516711147796,-0.007993516711147796,391716,0.0
V100,pearson_r,0.021460848686620845,0.021460848686620845,391716,0.0
V101,pearson_r,0.09669801476891174,0.09669801476891174,391716,0.0
V102,pearson_r,0.03960405099144737,0.03960405099144737,391716,0.0
V103,pearson_r,0.07066138682660726,0.07066138682660726,391716,0.0
V104,pearson_r,0.02410359252966809,0.02410359252966809,391716,0.0
V105,pearson_r,0.026083592321861086,0.026083592321861086,391716,0.0
V106,pearson_r,0.03081068056786574,0.03081068056786574,391716,0.0
V107,pearson_r,,,391716,0.0
V108,pearson_r,0.10230392788768686,0.10230392788768686,391716,0.0
V109,pearson_r,0.0647877073640189,0.0647877073640189,391716,0.0
V110,pearson_r,0.08658902480091994,0.08658902480091994,391716,0.0
V111,pearson_r,0.12017354254711127,0.12017354254711127,391716,0.0
V112,pearson_r,0.10490274987968588,0.10490274987968588,391716,0.0
V113,pearson_r,0.1142153845858516,0.1142153845858516,391716,0.0
V114,pearson_r,0.09242982956572975,0.09242982956572975,391716,0.0
V115,pearson_r,0.0579944825853499,0.0579944825853499,391716,0.0
V116,pearson_r,0.0794649445117885,0.0794649445117885,391716,0.0
V117,pearson_r,0.05605691791131231,0.05605691791131231,391716,0.0
V118,pearson_r,0.041139386474797895,0.041139386474797895,391716,0.0
V119,pearson_r,0.050658486233163214,0.050658486233163214,391716,0.0
V120,pearson_r,0.030483784940722396,0.030483784940722396,391716,0.0
V121,pearson_r,0.014200856096041544,0.014200856096041544,391716,0.0
V122,pearson_r,0.02505580672794244,0.02505580672794244,391716,0.0
V123,pearson_r,0.14150381754636165,0.14150381754636165,391716,0.0
V124,pearson_r,0.0917589487991309,0.0917589487991309,391716,0.0
V125,pearson_r,0.12707229817207005,0.12707229817207005,391716,0.0
V126,pearson_r,0.026045785292380743,0.026045785292380743,391716,0.0
V127,pearson_r,0.034573447508165135,0.034573447508165135,391716,0.0
V128,pearson_r,0.045896325670584014,0.045896325670584014,391716,0.0
V129,pearson_r,0.01243090861093228,0.01243090861093228,391716,0.0
V130,pearson_r,0.0076635173889989475,0.0076635173889989475,391716,0.0
V131,pearson_r,0.028511506533279916,0.028511506533279916,391716,0.0
V132,pearson_r,0.02926088150730273,0.02926088150730273,391716,0.0
V133,pearson_r,0.0377597391117608,0.0377597391117608,391716,0.0
V134,pearson_r,0.0440867354510915,0.0440867354510915,391716,0.0
V135,pearson_r,0.004374584910185243,0.004374584910185243,391716,0.0
V136,pearson_r,0.016954436101956197,0.016954436101956197,391716,0.0
V137,pearson_r,0.011212350765042359,0.011212350765042359,391716,0.0
V138,pearson_r,0.032490130744856814,0.032490130744856814,63660,0.8374842998498913
V139,pearson_r,0.13890488084272265,0.13890488084272265,63660,0.8374842998498913
V140,pearson_r,0.19878000938446738,0.19878000938446738,63660,0.8374842998498913
V141,pearson_r,0.10881998084023141,0.10881998084023141,63660,0.8374842998498913
V142,pearson_r,0.1136863961729284,0.1136863961729284,63660,0.8374842998498913
V143,pearson_r,0.05976271672423892,-0.05976271672423892,63660,0.8374842998498913
V144,pearson_r,0.056001390485745324,-0.056001390485745324,63660,0.8374842998498913
V145,pearson_r,0.06581554881336883,-0.06581554881336883,63660,0.8374842998498913
V146,pearson_r,0.18649575837192178,0.18649575837192178,63660,0.8374842998498913
V147,pearson_r,0.2446589704523067,0.2446589704523067,63660,0.8374842998498913
V148,pearson_r,0.23263164880735085,0.23263164880735085,63660,0.8374842998498913
V149,pearson_r,0.2833829714300947,0.2833829714300947,63660,0.8374842998498913
V150,pearson_r,0.0698414074772586,-0.0698414074772586,63660,0.8374842998498913
V151,pearson_r,0.0672762430590842,-0.0672762430590842,63660,0.8374842998498913
V152,pearson_r,0.06319487186318236,-0.06319487186318236,63660,0.8374842998498913
V153,pearson_r,0.1740187977741127,0.1740187977741127,63660,0.8374842998498913
V154,pearson_r,0.19884103372063555,0.19884103372063555,63660,0.8374842998498913
V155,pearson_r,0.23718583014058953,0.23718583014058953,63660,0.8374842998498913
V156,pearson_r,0.28513796660940427,0.28513796660940427,63660,0.8374842998498913
V157,pearson_r,0.23435029524857198,0.23435029524857198,63660,0.8374842998498913
V158,pearson_r,0.284441709720514,0.284441709720514,63660,0.8374842998498913
V159,pearson_r,0.06813830440797976,-0.06813830440797976,63660,0.8374842998498913
V160,pearson_r,0.0675054372317664,-0.0675054372317664,63660,0.8374842998498913
V161,pearson_r,0.0473433099825905,0.0473433099825905,63660,0.8374842998498913
V162,pearson_r,0.062476616108570436,0.062476616108570436,63660,0.8374842998498913
V163,pearson_r,0.05615625754255502,0.05615625754255502,63660,0.8374842998498913
V164,pearson_r,0.0498627348170431,-0.0498627348170431,63660,0.8374842998498913
V165,pearson_r,0.06584570098794709,-0.06584570098794709,63660,0.8374842998498913
V166,pearson_r,0.03738664043518472,-0.03738664043518472,63660,0.8374842998498913
V167,pearson_r,0.1473706014059973,0.1473706014059973,101469,0.740962840425206
V168,pearson_r,0.04460979846579645,0.04460979846579645,101469,0.740962840425206
V169,pearson_r,0.04438926715656946,0.04438926715656946,101480,0.7409347588559058
V170,pearson_r,0.2263163478116872,0.2263163478116872,101480,0.7409347588559058
V171,pearson_r,0.2530078656830467,0.2530078656830467,101480,0.7409347588559058
V172,pearson_r,0.011349482336877327,-0.011349482336877327,101469,0.740962840425206
V173,pearson_r,0.01817316427555154,-0.01817316427555154,101469,0.740962840425206
V174,pearson_r,0.02771501738513949,0.02771501738513949,101480,0.7409347588559058
V175,pearson_r,0.03689479785373923,0.03689479785373923,101480,0.7409347588559058
V176,pearson_r,0.13157220180134485,0.13157220180134485,101469,0.740962840425206
V177,pearson_r,0.21001633949003523,0.21001633949003523,101469,0.740962840425206
V178,pearson_r,0.07050973909486419,0.07050973909486419,101469,0.740962840425206
V179,pearson_r,0.11770298097401805,0.11770298097401805,101469,0.740962840425206
V180,pearson_r,0.02913266741380959,0.02913266741380959,101480,0.7409347588559058
V181,pearson_r,0.09622003675351547,0.09622003675351547,101469,0.740962840425206
V182,pearson_r,0.03653523737228739,0.03653523737228739,101469,0.740962840425206
V183,pearson_r,0.0639335297285123,0.0639335297285123,101469,0.740962840425206
V184,pearson_r,0.11457121821021,0.11457121821021,101480,0.7409347588559058
V185,pearson_r,0.1319594404632849,0.1319594404632849,101480,0.7409347588559058
V186,pearson_r,0.11293035323890713,0.11293035323890713,101469,0.740962840425206
V187,pearson_r,0.019811492568557444,0.019811492568557444,101469,0.740962840425206
V188,pearson_r,0.30376416080928553,0.30376416080928553,101480,0.7409347588559058
V189,pearson_r,0.3054236254653545,0.3054236254653545,101480,0.7409347588559058
V190,pearson_r,0.16172884642949106,0.16172884642949106,101469,0.740962840425206
V191,pearson_r,0.034480708478427734,0.034480708478427734,101469,0.740962840425206
V192,pearson_r,0.014500753773154363,0.014500753773154363,101469,0.740962840425206
V193,pearson_r,0.013928663667415932,0.013928663667415932,101469,0.740962840425206
V194,pearson_r,0.12047124633789934,0.12047124633789934,101480,0.7409347588559058
V195,pearson_r,0.1248028639835569,0.1248028639835569,101480,0.7409347588559058
V196,pearson_r,0.03153041202132699,0.03153041202132699,101469,0.740962840425206
V197,pearson_r,0.15142370340254868,0.15142370340254868,101480,0.7409347588559058
V198,pearson_r,0.14089981396711815,0.14089981396711815,101480,0.7409347588559058
V199,pearson_r,0.19130246923702326,0.19130246923702326,101469,0.740962840425206
V200,pearson_r,0.3119431651086364,0.3119431651086364,101480,0.7409347588559058
V201,pearson_r,0.32742425992781377,0.32742425992781377,101480,0.7409347588559058
V202,pearson_r,0.027485995360595164,0.027485995360595164,101469,0.740962840425206
V203,pearson_r,0.003938248246129977,0.003938248246129977,101469,0.740962840425206
V204,pearson_r,0.008691811041996305,0.008691811041996305,101469,0.740962840425206
V205,pearson_r,0.008834021316194885,-0.008834021316194885,101469,0.740962840425206
V206,pearson_r,0.005153715597546406,-0.005153715597546406,101469,0.740962840425206
V207,pearson_r,0.009844804279005281,-0.009844804279005281,101469,0.740962840425206
V208,pearson_r,0.015253725736761032,0.015253725736761032,101480,0.7409347588559058
V209,pearson_r,0.0011407348942006742,-0.0011407348942006742,101480,0.7409347588559058
V210,pearson_r,0.019550533150790528,0.019550533150790528,101480,0.7409347588559058
V211,pearson_r,0.04718455271579225,0.04718455271579225,101469,0.740962840425206
V212,pearson_r,0.0074228312529231325,0.0074228312529231325,101469,0.740962840425206
V213,pearson_r,0.023304259768738723,0.023304259768738723,101469,0.740962840425206
V214,pearson_r,0.019228681917836332,0.019228681917836332,101469,0.740962840425206
V215,pearson_r,0.01939208424266105,0.01939208424266105,101469,0.740962840425206
V216,pearson_r,0.023632042800059646,0.023632042800059646,101469,0.740962840425206
V217,pearson_r,0.26803059305337484,0.26803059305337484,96296,0.7541688366061126
V218,pearson_r,0.11250352596950541,0.11250352596950541,96296,0.7541688366061126
V219,pearson_r,0.2212458092672017,0.2212458092672017,96296,0.7541688366061126
V220,pearson_r,0.04922690844044285,0.04922690844044285,103027,0.7369854690643222
V221,pearson_r,0.1052263432138153,0.1052263432138153,103027,0.7369854690643222
V222,pearson_r,0.13921883087506354,0.13921883087506354,103027,0.7369854690643222
V223,pearson_r,0.0019004994032843277,-0.0019004994032843277,96296,0.7541688366061126
V224,pearson_r,0.002305257651836047,0.002305257651836047,96296,0.7541688366061126
V225,pearson_r,0.008640028375292862,0.008640028375292862,96296,0.7541688366061126
V226,pearson_r,0.026920255696483722,0.026920255696483722,96296,0.7541688366061126
V227,pearson_r,0.011772128324928084,0.011772128324928084,103027,0.7369854690643222
V228,pearson_r,0.2438410636974404,0.2438410636974404,96296,0.7541688366061126
V229,pearson_r,0.09991315377377634,0.09991315377377634,96296,0.7541688366061126
V230,pearson_r,0.19258937205939722,0.19258937205939722,96296,0.7541688366061126
V231,pearson_r,0.2712775002109029,0.2712775002109029,96296,0.7541688366061126
V232,pearson_r,0.2678187084240273,0.2678187084240273,96296,0.7541688366061126
V233,pearson_r,0.294784339284909,0.294784339284909,96296,0.7541688366061126
V234,pearson_r,0.003701881572997671,-0.003701881572997671,103027,0.7369854690643222
V235,pearson_r,0.12608470768171195,0.12608470768171195,96296,0.7541688366061126
V236,pearson_r,0.09672214881098773,0.09672214881098773,96296,0.7541688366061126
V237,pearson_r,0.13350098043737554,0.13350098043737554,96296,0.7541688366061126
V238,pearson_r,0.1116528441663124,0.1116528441663124,103027,0.7369854690643222
V239,pearson_r,0.14194531115996037,0.14194531115996037,103027,0.7369854690643222
V240,pearson_r,0.0033162948973041897,0.0033162948973041897,96296,0.7541688366061126
V241,pearson_r,0.00024398270152662757,-0.00024398270152662757,96296,0.7541688366061126
V242,pearson_r,0.34207461316438587,0.34207461316438587,96296,0.7541688366061126
V243,pearson_r,0.16519858006614938,0.16519858006614938,96296,0.7541688366061126
V244,pearson_r,0.34779444401990095,0.34779444401990095,96296,0.7541688366061126
V245,pearson_r,0.0670881240790901,0.0670881240790901,103027,0.7369854690643222
V246,pearson_r,0.33715261038854694,0.33715261038854694,96296,0.7541688366061126
V247,pearson_r,0.15576060116203466,0.15576060116203466,96296,0.7541688366061126
V248,pearson_r,0.05807582862422845,0.05807582862422845,96296,0.7541688366061126
V249,pearson_r,0.0842952494347016,0.0842952494347016,96296,0.7541688366061126
V250,pearson_r,0.025736987680937806,0.025736987680937806,103027,0.7369854690643222
V251,pearson_r,0.04681402978547956,0.04681402978547956,103027,0.7369854690643222
V252,pearson_r,0.15386262599068776,0.15386262599068776,96296,0.7541688366061126
V253,pearson_r,0.016834004178547975,0.016834004178547975,96296,0.7541688366061126
V254,pearson_r,0.04381411897859554,0.04381411897859554,96296,0.7541688366061126
V255,pearson_r,0.02723135781853762,0.02723135781853762,103027,0.7369854690643222
V256,pearson_r,0.047507287287987345,0.047507287287987345,103027,0.7369854690643222
V257,pearson_r,0.35924903590460805,0.35924903590460805,96296,0.7541688366061126
V258,pearson_r,0.24939110826533034,0.24939110826533034,96296,0.7541688366061126
V259,pearson_r,0.12127930247643039,0.12127930247643039,103027,0.7369854690643222
V260,pearson_r,0.13195834274923274,0.13195834274923274,96296,0.7541688366061126
V261,pearson_r,0.09308773914048148,0.09308773914048148,96296,0.7541688366061126
V262,pearson_r,0.1452658013404038,0.1452658013404038,96296,0.7541688366061126
V263,pearson_r,0.046734266376525294,0.046734266376525294,96296,0.7541688366061126
V264,pearson_r,0.017553464019278014,0.017553464019278014,96296,0.7541688366061126
V265,pearson_r,0.039574042821866114,0.039574042821866114,96296,0.7541688366061126
V266,pearson_r,0.004913487025336737,-0.004913487025336737,96296,0.7541688366061126
V267,pearson_r,0.005888184894425754,-0.005888184894425754,96296,0.7541688366061126
V268,pearson_r,0.003523853188100044,-0.003523853188100044,96296,0.7541688366061126
V269,pearson_r,0.005057780954592905,-0.005057780954592905,96296,0.7541688366061126
V270,pearson_r,0.015888515525813288,0.015888515525813288,103027,0.7369854690643222
V271,pearson_r,0.027865353596029954,0.027865353596029954,103027,0.7369854690643222
V272,pearson_r,0.026558748134006667,0.026558748134006667,103027,0.7369854690643222
V273,pearson_r,0.07652644328028921,0.07652644328028921,96296,0.7541688366061126
V274,pearson_r,0.02980593169853741,0.02980593169853741,96296,0.7541688366061126
V275,pearson_r,0.05846525707023334,0.05846525707023334,96296,0.7541688366061126
V276,pearson_r,0.02141362796032262,0.02141362796032262,96296,0.7541688366061126
V277,pearson_r,0.026138542490947242,0.026138542490947242,96296,0.7541688366061126
V278,pearson_r,0.027188386560436647,0.027188386560436647,96296,0.7541688366061126
V279,pearson_r,0.07104846918918785,0.07104846918918785,391704,3.063443923658977e-05
V280,pearson_r,0.05052870726903916,0.05052870726903916,391704,3.063443923658977e-05
V281,pearson_r,0.07440008582189808,0.07440008582189808,391443,0.0006969334926324173
V282,pearson_r,0.1019820848882097,0.1019820848882097,391443,0.0006969334926324173
V283,pearson_r,0.10963843573680879,0.10963843573680879,391443,0.0006969334926324173
V284,pearson_r,0.03806630051899584,0.03806630051899584,391704,3.063443923658977e-05
V285,pearson_r,0.0054270090254421284,-0.0054270090254421284,391704,3.063443923658977e-05
V286,pearson_r,0.006689123991197264,0.006689123991197264,391704,3.063443923658977e-05
V287,pearson_r,0.027156681073417056,0.027156681073417056,391704,3.063443923658977e-05
V288,pearson_r,0.03870606635937109,0.03870606635937109,391443,0.0006969334926324173
V289,pearson_r,0.046776133552473835,0.046776133552473835,391443,0.0006969334926324173
V290,pearson_r,0.04127879399672072,0.04127879399672072,391704,3.063443923658977e-05
V291,pearson_r,0.025515539321937904,0.025515539321937904,391704,3.063443923658977e-05
V292,pearson_r,0.029363495835038705,0.029363495835038705,391704,3.063443923658977e-05
V293,pearson_r,0.06250526756554174,0.06250526756554174,391704,3.063443923658977e-05
V294,pearson_r,0.031718334508424983,0.031718334508424983,391704,3.063443923658977e-05
V295,pearson_r,0.043193970810059365,0.043193970810059365,391704,3.063443923658977e-05
V296,pearson_r,0.03863650668454468,0.03863650668454468,391443,0.0006969334926324173
V297,pearson_r,0.022680219544599454,0.022680219544599454,391704,3.063443923658977e-05
V298,pearson_r,0.03730635101434308,0.03730635101434308,391704,3.063443923658977e-05
V299,pearson_r,0.03481512017142618,0.03481512017142618,391704,3.063443923658977e-05
V300,pearson_r,0.030900229273783365,0.030900229273783365,391443,0.0006969334926324173
V301,pearson_r,0.03994663411907737,0.03994663411907737,391443,0.0006969334926324173
V302,pearson_r,0.12301891487861115,0.12301891487861115,391704,3.063443923658977e-05
V303,pearson_r,0.1281251625206035,0.1281251625206035,391704,3.063443923658977e-05
V304,pearson_r,0.12818432344166858,0.12818432344166858,391704,3.063443923658977e-05
V305,pearson_r,0.00052203916442723,-0.00052203916442723,391704,3.063443923658977e-05
V306,pearson_r,0.031913168220053516,0.031913168220053516,391704,3.063443923658977e-05
V307,pearson_r,0.04601845709609159,0.04601845709609159,391704,3.063443923658977e-05
V308,pearson_r,0.06150149448028715,0.06150149448028715,391704,3.063443923658977e-05
V309,pearson_r,0.019647006012276733,0.019647006012276733,391704,3.063443923658977e-05
V310,pearson_r,0.015766313722557757,0.015766313722557757,391704,3.063443923658977e-05
V311,pearson_r,0.0017658586268646148,0.0017658586268646148,391704,3.063443923658977e-05
V312,pearson_r,0.03972068841119302,0.03972068841119302,391704,3.063443923658977e-05
